date,code,open,high,low,close,volume,amount,turnover,pct_change,is_limit_up,is_limit_down
2025-11-14,sz.000009,11.3,11.42,11.14,11.17,46971889,528155708.51,1.8234,-1.9315,0,0
2025-11-17,sz.000009,11.18,11.9,11.04,11.43,94975131,1084879626.79,3.6869,2.3277,0,0
2025-11-18,sz.000009,11.44,11.56,10.97,11.08,80090010,895511976.95,3.1091,-3.0621,0,0
2025-11-19,sz.000009,11.01,11.35,10.9,11.03,56517593,625430932.83,2.194,-0.4513,0,0
2025-11-20,sz.000009,11.09,11.27,10.85,10.93,52793049,582661609.99,2.0494,-0.9066,0,0
2025-11-21,sz.000009,10.72,10.78,10.02,10.02,68176536,701486867.3,2.6466,-8.3257,0,0
2025-11-24,sz.000009,10.2,10.23,9.77,9.91,37548608,372814752.31,1.4576,-1.0978,0,0
2025-11-25,sz.000009,10.02,10.14,9.9,10.08,33248173,334032856.13,1.2907,1.7154,0,0
2025-11-26,sz.000009,10.04,10.09,9.87,9.89,31596663,314294832.6,1.2266,-1.8849,0,0
2025-11-27,sz.000009,9.89,10.35,9.88,10.12,43499483,441947052.16,1.6886,2.3256,0,0
2025-11-28,sz.000009,10.12,10.17,10.01,10.12,24339379,245763780.13,0.9448,0.0,0,0
2025-12-01,sz.000009,10.17,10.63,10.17,10.24,46922200,485948155.91,1.8215,1.1858,0,0
2025-12-02,sz.000009,10.21,10.21,10.0,10.11,25392985,255922276.62,0.9857,-1.2695,0,0
2025-12-03,sz.000009,10.1,10.16,9.99,10.05,22832781,229702941.89,0.8864,-0.5935,0,0
2025-12-04,sz.000009,10.04,10.09,9.92,10.0,16265880,162497092.75,0.6314,-0.4975,0,0
2025-12-05,sz.000009,9.99,10.3,9.9,10.25,31591451,320860401.82,1.2264,2.5,0,0
2025-12-08,sz.000009,10.25,10.46,10.15,10.39,30768741,316790017.61,1.1944,1.3659,0,0
2025-12-09,sz.000009,10.33,10.39,10.21,10.26,22553750,232195299.27,0.8755,-1.2512,0,0
2025-12-10,sz.000009,10.24,10.4,10.12,10.29,22065390,226427262.1,0.8566,0.2924,0,0
2025-12-11,sz.000009,10.3,10.34,10.21,10.22,17926684,184051754.39,0.6959,-0.6803,0,0
2025-12-12,sz.000009,10.16,10.35,10.13,10.29,31074662,318841313.38,1.2063,0.6849,0,0
2025-12-15,sz.000009,10.34,10.49,10.01,10.04,38012774,386746000.13,1.4756,-2.4295,0,0
2025-12-16,sz.000009,10.04,10.06,9.67,9.8,34453022,337381798.52,1.3375,-2.3904,0,0
2025-12-17,sz.000009,9.83,9.97,9.74,9.94,24400758,240483507.37,0.9472,1.4286,0,0
2025-12-18,sz.000009,9.86,9.96,9.77,9.79,19156548,188847432.41,0.7436,-1.5091,0,0
2025-12-19,sz.000009,9.84,9.99,9.8,9.94,18421048,182658552.38,0.7151,1.5322,0,0
2025-12-22,sz.000009,9.95,10.15,9.94,10.03,20400917,204962890.17,0.792,0.9054,0,0
2025-12-23,sz.000009,10.02,10.18,9.95,10.03,22761784,228708228.17,0.8836,0.0,0,0
2025-12-24,sz.000009,10.03,10.21,10.01,10.14,26463364,267776055.97,1.0273,1.0967,0,0
2025-12-25,sz.000009,10.07,10.17,10.02,10.12,17632176,177861374.24,0.6845,-0.1972,0,0
2025-12-26,sz.000009,10.2,10.28,10.14,10.16,28746842,293428305.87,1.1159,0.3953,0,0
2025-12-29,sz.000009,10.17,10.21,9.94,9.97,24647267,247304451.37,0.9568,-1.8701,0,0
2025-12-30,sz.000009,9.92,10.05,9.81,9.95,22164716,220208510.79,0.8604,-0.2006,0,0
2025-12-31,sz.000009,9.98,10.02,9.82,9.85,17752488,175143497.06,0.6891,-1.005,0,0
2026-01-05,sz.000009,9.85,10.13,9.85,10.08,30608748,307201542.44,1.1882,2.335,0,0
2026-01-06,sz.000009,10.11,10.22,10.11,10.17,30181285,306758155.06,1.1716,0.8929,0,0
2026-01-07,sz.000009,10.21,10.27,10.06,10.11,31354205,318543026.09,1.2172,-0.59,0,0
2026-01-08,sz.000009,10.03,10.25,9.97,10.17,37517830,380410028.52,1.4564,0.5935,0,0
2026-01-09,sz.000009,10.18,10.25,10.08,10.25,39156206,398187014.32,1.52,0.7866,0,0
2026-01-12,sz.000009,10.29,10.29,10.08,10.26,48998578,498975407.69,1.9021,0.0976,0,0
2026-01-13,sz.000009,10.26,10.34,10.02,10.06,45059158,457159228.24,1.7492,-1.9493,0,0
2026-01-14,sz.000009,10.08,10.32,10.0,10.08,55242727,561374849.69,2.1445,0.1988,0,0
2026-01-15,sz.000009,10.02,10.22,10.02,10.1,38731379,392386789.09,1.5035,0.1984,0,0
2026-01-16,sz.000009,10.12,10.26,10.09,10.18,39911871,406350397.5,1.5494,0.7921,0,0
2026-01-19,sz.000009,10.14,10.24,10.04,10.15,29812237,302930645.42,1.1573,-0.2947,0,0
2026-01-20,sz.000009,10.19,10.29,9.92,10.0,44526780,446787769.15,1.7285,-1.4778,0,0
2026-01-21,sz.000009,9.93,10.2,9.9,10.18,42162123,426448231.89,1.6367,1.8,0,0
2026-01-22,sz.000009,10.2,10.28,10.09,10.15,27462127,278482329.1,1.0661,-0.2947,0,0
2026-01-23,sz.000009,10.15,10.43,10.15,10.41,58275041,601174699.79,2.2622,2.5616,0,0
2026-01-26,sz.000009,10.45,10.52,10.19,10.25,39908311,411037091.03,1.5492,-1.537,0,0
2026-01-27,sz.000009,10.23,10.24,9.73,9.92,71471731,706791204.79,2.7745,-3.2195,0,0
2026-01-28,sz.000009,9.93,10.36,9.77,10.12,57194326,574541287.38,2.2203,2.0161,0,0
2026-01-29,sz.000009,10.15,10.33,9.99,10.04,49044499,497083734.07,1.9039,-0.7905,0,0
2026-01-30,sz.000009,9.95,10.0,9.52,9.61,62292946,604658566.58,2.4182,-4.2829,0,0
2026-02-02,sz.000009,9.52,9.6,9.28,9.28,35352924,333901612.75,1.3724,-3.4339,0,0
2026-02-03,sz.000009,9.38,9.45,9.3,9.45,18559588,174280861.83,0.7205,1.8319,0,0
2026-02-04,sz.000009,9.45,9.55,9.36,9.52,21767197,205397372.76,0.845,0.7407,0,0
2026-02-05,sz.000009,9.47,9.47,9.32,9.38,20534583,192627343.79,0.7971,-1.4706,0,0
2026-02-06,sz.000009,9.32,9.62,9.24,9.45,24694643,233335123.1,0.9586,0.7463,0,0
2026-02-09,sz.000009,9.54,9.8,9.42,9.66,32317521,312890438.28,1.2546,2.2222,0,0
2026-02-10,sz.000009,9.65,9.71,9.56,9.57,16546176,158794786.88,0.6423,-0.9317,0,0
2026-02-11,sz.000009,9.57,9.63,9.53,9.54,13680471,131042980.72,0.5311,-0.3135,0,0
2026-02-12,sz.000009,9.56,9.57,9.45,9.5,12794644,121616711.2,0.4967,-0.4193,0,0
2026-02-13,sz.000009,9.46,9.53,9.32,9.33,19446768,183147234.68,0.7549,-1.7895,0,0
2026-02-24,sz.000009,9.47,9.6,9.41,9.54,19332757,184312498.0,0.7505,2.2508,0,0
2026-02-25,sz.000009,9.56,9.75,9.54,9.59,38861807,375384530.78,1.5086,0.5241,0,0
2026-02-26,sz.000009,9.64,9.69,9.47,9.5,27114236,259115327.7,1.0526,-0.9385,0,0
2026-02-27,sz.000009,9.45,9.59,9.42,9.55,20227879,192480351.89,0.7852,0.5263,0,0
2026-03-02,sz.000009,9.46,9.52,9.21,9.35,32569298,304298223.72,1.2643,-2.0942,0,0
2026-03-03,sz.000009,9.35,9.43,8.93,8.95,44182134,401700619.06,1.7151,-4.2781,0,0
2026-03-04,sz.000009,8.87,9.01,8.8,8.84,24682825,219318880.73,0.9582,-1.2291,0,0
2026-03-05,sz.000009,8.98,9.18,8.87,8.95,27119457,243755086.77,1.0528,1.2443,0,0
2026-03-06,sz.000009,8.95,9.29,8.91,9.13,34520824,316750732.2,1.3401,2.0112,0,0
2026-03-09,sz.000009,9.04,9.11,8.81,9.08,29832196,267203400.59,1.1581,-0.5476,0,0
2026-03-10,sz.000009,9.14,9.22,9.08,9.18,19254642,176297468.03,0.7475,1.1013,0,0
2026-03-11,sz.000009,9.18,9.39,9.13,9.29,35100859,326085012.14,1.3626,1.1983,0,0
2026-03-12,sz.000009,9.28,9.28,9.11,9.19,24742202,227366309.14,0.9605,-1.0764,0,0
2026-03-13,sz.000009,9.15,9.69,9.15,9.47,63733398,604637179.45,2.4741,3.0468,0,0
2026-03-16,sz.000009,9.55,9.61,9.33,9.38,34285345,322788160.15,1.3309,-0.9504,0,0
2026-03-17,sz.000009,9.4,9.52,9.2,9.21,23559418,220053681.1,0.9146,-1.8124,0,0
2026-03-18,sz.000009,9.22,9.28,8.99,9.06,25446210,230974870.38,0.9878,-1.6287,0,0
2026-03-19,sz.000009,9.0,9.14,8.89,8.92,28044009,252378526.15,1.0887,-1.5453,0,0
2026-03-20,sz.000009,8.96,9.14,8.87,8.89,29212754,262483501.59,1.134,-0.3363,0,0
2026-03-23,sz.000009,8.81,8.89,8.5,8.57,36240253,313564797.29,1.4068,-3.5996,0,0
2026-03-24,sz.000009,8.7,8.76,8.4,8.74,27020306,232456938.61,1.0489,1.9837,0,0
2026-03-25,sz.000009,8.76,8.94,8.67,8.88,24094081,212235073.49,0.9353,1.6018,0,0
2026-03-26,sz.000009,8.87,9.07,8.8,8.87,24513404,219326651.18,0.9516,-0.1126,0,0
2026-03-27,sz.000009,8.77,9.14,8.72,9.1,26003312,234546785.48,1.0094,2.593,0,0
2026-03-30,sz.000009,9.04,9.08,8.84,9.03,21448995,192188570.27,0.8326,-0.7692,0,0
2026-03-31,sz.000009,9.0,9.05,8.81,8.81,18817926,167406355.72,0.7305,-2.4363,0,0
2026-04-01,sz.000009,8.93,8.96,8.76,8.82,19988945,176429263.77,0.776,0.1135,0,0
2026-04-02,sz.000009,8.77,8.84,8.6,8.66,18128181,157823302.67,0.7037,-1.8141,0,0
2026-04-03,sz.000009,8.68,8.76,8.42,8.43,16388615,139430435.38,0.6362,-2.6559,0,0
2026-04-07,sz.000009,8.46,8.58,8.43,8.5,12489306,106135448.97,0.4848,0.8304,0,0
2026-04-08,sz.000009,8.65,8.85,8.63,8.85,25506401,223214914.35,0.9901,4.1176,0,0
2026-04-09,sz.000009,8.79,8.79,8.63,8.67,18097245,157366549.57,0.7025,-2.0339,0,0
2026-04-10,sz.000009,8.71,8.97,8.7,8.89,28393180,252676029.2,1.1022,2.5375,0,0
2026-04-13,sz.000009,8.83,9.0,8.81,8.94,21097536,188718840.62,0.819,0.5624,0,0
2026-04-14,sz.000009,9.0,9.03,8.86,9.02,23077766,206142251.92,0.8959,0.8949,0,0
2026-04-15,sz.000009,9.05,9.07,8.84,8.86,22561556,200937944.67,0.8758,-1.7738,0,0
2026-04-16,sz.000009,8.9,9.02,8.86,8.94,20942313,187382866.37,0.813,0.9029,0,0
2026-04-17,sz.000009,8.91,9.01,8.89,8.98,19022767,170596807.11,0.7385,0.4474,0,0
2026-04-20,sz.000009,8.98,9.04,8.9,8.93,18918780,169402395.54,0.7344,-0.5568,0,0
2026-04-21,sz.000009,8.93,8.95,8.78,8.88,18936158,167844985.15,0.7351,-0.5599,0,0
2026-04-22,sz.000009,8.9,9.17,8.9,8.97,32219729,290983185.1,1.2508,1.0135,0,0
2026-04-23,sz.000009,8.96,8.97,8.76,8.88,26197755,231860155.6,1.017,-1.0033,0,0
2026-04-24,sz.000009,8.85,8.97,8.78,8.9,23092449,205381382.69,0.8964,0.2252,0,0
2026-04-27,sz.000009,8.86,8.95,8.79,8.86,22044365,194950031.54,0.8558,-0.4494,0,0
2026-04-28,sz.000009,8.85,8.93,8.73,8.82,23387181,205747682.65,0.9079,-0.4515,0,0
2026-04-29,sz.000009,8.78,9.32,8.76,9.28,63273694,574992887.67,2.4563,5.2154,0,0
2026-04-30,sz.000009,9.0,9.01,8.56,8.65,80651456,701069432.97,3.1309,-6.7888,0,0
2026-05-06,sz.000009,8.65,8.83,8.61,8.74,42868938,373947374.49,1.6642,1.0405,0,0
2026-05-07,sz.000009,8.73,8.73,8.57,8.61,37557246,324032301.66,1.458,-1.4874,0,0
2026-05-08,sz.000009,8.58,8.8,8.56,8.62,29692244,257371973.42,1.1526,0.1161,0,0
2026-05-11,sz.000009,8.62,8.67,8.53,8.58,30473652,261380427.35,1.183,-0.464,0,0
2026-05-12,sz.000009,8.58,8.58,8.35,8.43,31271860,263849112.67,1.214,-1.7483,0,0
2026-05-13,sz.000009,8.41,8.45,8.28,8.31,30934293,257598360.05,1.2009,-1.4235,0,0
2026-05-14,sz.000009,8.31,8.32,8.0,8.01,37714786,305252216.19,1.4641,-3.6101,0,0
2026-05-15,sz.000009,8.02,8.05,7.87,7.92,26004683,206566194.96,1.0095,-1.1236,0,0
2026-05-18,sz.000009,7.89,7.91,7.78,7.84,21894156,171447621.17,0.8499,-1.0101,0,0
2026-05-19,sz.000009,7.82,7.87,7.76,7.85,18397528,143717043.76,0.7142,0.1276,0,0
2026-05-20,sz.000009,7.81,7.91,7.69,7.88,25163696,196183154.14,0.9768,0.3822,0,0
2026-05-21,sz.000009,7.89,8.03,7.72,7.75,24707426,195373711.95,0.9591,-1.6497,0,0
2026-05-22,sz.000009,7.78,7.82,7.69,7.76,17025836,131777456.21,0.6609,0.129,0,0
2026-05-25,sz.000009,7.73,7.75,7.5,7.54,26094412,197355216.93,1.013,-2.8351,0,0
2026-05-26,sz.000009,7.51,7.59,7.46,7.57,19872670,149535200.01,0.7714,0.3979,0,0
2026-05-27,sz.000009,7.53,7.68,7.4,7.42,24262102,182288488.94,0.9418,-1.9815,0,0
2026-05-28,sz.000009,7.4,7.48,7.3,7.45,20191710,149323060.57,0.7838,0.4043,0,0
2026-05-29,sz.000009,7.45,7.52,7.36,7.4,20723707,154124165.73,0.8045,-0.6711,0,0
2026-06-01,sz.000009,7.34,7.54,7.34,7.47,15735478,117572967.17,0.6108,0.9459,0,0
2026-06-02,sz.000009,7.47,7.5,7.32,7.34,15925943,117419719.3,0.6182,-1.7403,0,0
2026-06-03,sz.000009,7.35,7.35,7.2,7.21,18198693,131879889.84,0.7065,-1.7711,0,0
2026-06-04,sz.000009,7.17,7.23,7.06,7.09,21985162,156425498.54,0.8535,-1.6644,0,0
2026-06-05,sz.000009,7.15,7.34,7.02,7.19,25601225,183708862.53,0.9938,1.4104,0,0
2026-06-08,sz.000009,7.06,7.14,6.86,6.95,25958438,181894736.18,1.0077,-3.338,0,0
2026-06-09,sz.000009,6.99,7.07,6.88,7.03,18698696,129993437.16,0.7259,1.1511,0,0
2026-06-10,sz.000009,6.99,7.09,6.93,7.01,16438360,114769414.77,0.6381,-0.2845,0,0
2026-06-11,sz.000009,7.0,7.0,6.83,6.85,18488186,127387992.43,0.7177,-2.2825,0,0
2026-06-12,sz.000009,6.92,7.11,6.84,7.06,36912854,258406197.37,1.4329,3.0657,0,0
2026-06-15,sz.000009,7.11,7.14,6.95,6.97,36703682,258197755.35,1.4248,-1.2748,0,0
2026-06-16,sz.000009,6.98,7.14,6.86,7.08,38631573,271211979.23,1.4997,1.5782,0,0
2026-06-17,sz.000009,7.04,7.08,6.95,6.99,18263363,127566126.15,0.709,-1.2712,0,0
2026-06-18,sz.000009,6.97,6.97,6.8,6.84,25115642,172421794.17,0.975,-2.1459,0,0
2026-06-22,sz.000009,6.83,6.89,6.62,6.88,27339282,184539907.11,1.0613,0.5848,0,0
2026-06-23,sz.000009,6.86,6.94,6.74,6.77,22833859,156230087.11,0.8864,-1.5988,0,0
2026-06-24,sz.000009,6.79,6.79,6.56,6.64,24335925,161390283.41,0.9447,-1.9202,0,0
2026-06-25,sz.000009,6.59,6.65,6.5,6.58,23527413,154459283.31,0.9133,-0.9036,0,0
2026-06-26,sz.000009,6.55,6.56,6.18,6.19,34102554,215289544.3,1.3238,-5.9271,0,0
